date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesByPublishDateChangePercentage,newDeaths28DaysByDeathDate
"2020-12-15",overview,K02000001,United Kingdom,18450,28.7,
"2020-12-14",overview,K02000001,United Kingdom,20263,21.6,
"2020-12-13",overview,K02000001,United Kingdom,18447,19.1,195
"2020-12-12",overview,K02000001,United Kingdom,21502,24,259
"2020-12-11",overview,K02000001,United Kingdom,21672,17.7,294
"2020-12-10",overview,K02000001,United Kingdom,20964,12.7,355
"2020-12-09",overview,K02000001,United Kingdom,16578,3.9,372
"2020-12-08",overview,K02000001,United Kingdom,12282,1.5,386
"2020-12-07",overview,K02000001,United Kingdom,14718,4.7,374
"2020-12-06",overview,K02000001,United Kingdom,17272,-0.6,373
"2020-12-05",overview,K02000001,United Kingdom,15539,-10.9,358
"2020-12-04",overview,K02000001,United Kingdom,16298,-13.6,442
"2020-12-03",overview,K02000001,United Kingdom,14879,-16.9,450
"2020-12-02",overview,K02000001,United Kingdom,16170,-18.3,378
"2020-12-01",overview,K02000001,United Kingdom,13430,-17.6,389
"2020-11-30",overview,K02000001,United Kingdom,12330,-24.4,418
"2020-11-29",overview,K02000001,United Kingdom,12155,-25.3,457
"2020-11-28",overview,K02000001,United Kingdom,15871,-24.1,451
"2020-11-27",overview,K02000001,United Kingdom,16022,-25,420
"2020-11-26",overview,K02000001,United Kingdom,17555,-25.6,426
"2020-11-25",overview,K02000001,United Kingdom,18213,-27,479
"2020-11-24",overview,K02000001,United Kingdom,11299,-27.6,457
"2020-11-23",overview,K02000001,United Kingdom,15450,-22.8,460
"2020-11-22",overview,K02000001,United Kingdom,18662,-19.5,474
"2020-11-21",overview,K02000001,United Kingdom,19875,-13.8,461
"2020-11-20",overview,K02000001,United Kingdom,20252,-8.8,449
"2020-11-19",overview,K02000001,United Kingdom,22915,-2.4,458
"2020-11-18",overview,K02000001,United Kingdom,19609,10.1,485
"2020-11-17",overview,K02000001,United Kingdom,20051,10.7,439
"2020-11-16",overview,K02000001,United Kingdom,21363,11.2,424
"2020-11-15",overview,K02000001,United Kingdom,24962,12.9,450
"2020-11-14",overview,K02000001,United Kingdom,26860,8.2,427
"2020-11-13",overview,K02000001,United Kingdom,27301,9.1,434
"2020-11-12",overview,K02000001,United Kingdom,33470,5.8,418
"2020-11-11",overview,K02000001,United Kingdom,22950,0.6,387
"2020-11-10",overview,K02000001,United Kingdom,20412,2.3,387
"2020-11-09",overview,K02000001,United Kingdom,21350,0.2,479
"2020-11-08",overview,K02000001,United Kingdom,20572,-2.5,413
"2020-11-07",overview,K02000001,United Kingdom,24957,1.4,388
"2020-11-06",overview,K02000001,United Kingdom,23287,-1.3,398
"2020-11-05",overview,K02000001,United Kingdom,24141,1.9,376
"2020-11-04",overview,K02000001,United Kingdom,25177,2.4,328
"2020-11-03",overview,K02000001,United Kingdom,20018,0.8,359
"2020-11-02",overview,K02000001,United Kingdom,18950,3.7,330
"2020-11-01",overview,K02000001,United Kingdom,23254,6.4,356
"2020-10-31",overview,K02000001,United Kingdom,21915,6.1,320
"2020-10-30",overview,K02000001,United Kingdom,24405,12,338
"2020-10-29",overview,K02000001,United Kingdom,23065,13.2,310
"2020-10-28",overview,K02000001,United Kingdom,24701,13.7,283
"2020-10-27",overview,K02000001,United Kingdom,22885,21.5,266
"2020-10-26",overview,K02000001,United Kingdom,20890,24.2,277
"2020-10-25",overview,K02000001,United Kingdom,19790,27.5,248
"2020-10-24",overview,K02000001,United Kingdom,23012,29.7,212
"2020-10-23",overview,K02000001,United Kingdom,20530,24.8,222
"2020-10-22",overview,K02000001,United Kingdom,21242,22.4,234
"2020-10-21",overview,K02000001,United Kingdom,26688,22,222
"2020-10-20",overview,K02000001,United Kingdom,21331,21.8,194
"2020-10-19",overview,K02000001,United Kingdom,18804,21,190
"2020-10-18",overview,K02000001,United Kingdom,16982,17.8,158
"2020-10-17",overview,K02000001,United Kingdom,16171,3.4,175
"2020-10-16",overview,K02000001,United Kingdom,15650,4.7,147
"2020-10-15",overview,K02000001,United Kingdom,18980,10,151
"2020-10-14",overview,K02000001,United Kingdom,19724,21.3,114
"2020-10-13",overview,K02000001,United Kingdom,17234,24.8,110
"2020-10-12",overview,K02000001,United Kingdom,13972,33.4,112
"2020-10-11",overview,K02000001,United Kingdom,12872,48.1,122
"2020-10-10",overview,K02000001,United Kingdom,15166,118.4,103
